"""kommune"",""2007"",""2008"",""2009"",""2010"",""2011"",""2012"",""2013"",""2014"",""2015"",""2016"",""2017"",""2018"",""2019"",""2020"",""2021"""
København,88.25,88.25,88.25,88.25,74.40,74.80,77.20,86.20,86.22,86.40,86.39,86.60,86.70,90.10,90.10
Frederiksberg,8.77,8.77,8.77,8.77,8.00,8.00,8.00,8.70,8.71,8.71,8.71,8.70,8.70,8.70,8.70
Dragør,18.14,18.14,18.14,18.14,18.30,18.30,18.30,18.30,18.26,18.26,18.26,18.30,18.30,18.30,18.30
Tårnby,64.95,64.95,64.95,64.95,66.30,66.10,66.10,66.10,66.10,66.10,66.10,66.10,66.10,66.10,66.10
Albertslund,23.04,23.04,23.04,23.04,23.20,23.20,23.20,23.20,23.19,23.19,23.19,23.20,23.40,23.40,23.40
Ballerup,34.09,34.09,34.09,34.09,34.00,34.00,34.00,34.00,33.95,33.95,33.95,34.00,33.90,33.90,33.90
Brøndby,20.65,20.65,20.65,20.65,21.00,21.00,21.00,21.00,21.03,21.03,21.03,21.00,21.00,21.00,21.00
Gentofte,25.54,25.54,25.54,25.54,25.60,25.60,25.60,25.60,25.62,25.62,25.62,25.60,25.60,25.60,25.60
Gladsaxe,25.00,25.00,25.00,25.00,24.90,24.90,24.90,24.90,24.93,24.93,24.93,24.90,24.90,24.90,24.90
Glostrup,13.31,13.31,13.31,13.31,13.30,13.30,13.30,13.30,13.29,13.29,13.29,13.30,13.30,13.30,13.30
Herlev,12.04,12.04,12.04,12.04,12.10,12.10,12.10,12.10,12.06,12.06,12.06,12.10,12.10,12.10,12.10
Hvidovre,21.91,21.91,21.91,21.91,22.90,22.90,22.90,22.90,22.93,22.93,22.93,22.90,22.90,22.90,22.90
Høje-Taastrup,78.41,78.41,78.41,78.41,78.30,78.30,78.30,78.30,78.34,78.34,78.34,78.30,78.20,78.20,78.20
Ishøj,25.94,25.94,25.94,25.94,26.50,26.50,26.50,26.50,26.46,26.46,26.46,26.50,26.50,26.50,26.50
Lyngby-Taarbæk,38.88,38.88,38.88,38.88,38.80,38.80,38.80,38.80,38.79,38.79,38.79,38.80,38.80,38.80,38.80
Rødovre,12.12,12.12,12.12,12.12,12.20,12.20,12.20,12.20,12.17,12.17,12.17,12.20,12.20,12.20,12.20
Vallensbæk,9.15,9.15,9.15,9.15,9.50,9.50,9.50,9.50,9.48,9.48,9.48,9.50,9.50,9.50,9.50
Allerød,67.44,67.44,67.44,67.44,67.50,67.40,67.40,67.40,67.45,67.45,67.45,67.40,67.40,67.40,67.40
Egedal,125.79,125.79,125.79,125.79,125.90,125.90,125.90,125.90,125.86,125.86,125.86,125.90,125.80,125.80,125.80
Fredensborg,112.08,112.08,112.08,112.08,112.10,112.10,112.10,112.10,112.08,112.08,112.08,112.10,112.10,112.10,112.10
Frederikssund,248.63,248.63,248.63,248.63,248.50,248.50,248.50,248.50,248.49,248.50,248.50,248.50,248.50,248.50,248.50
Furesø,56.68,56.68,56.68,56.68,56.80,56.80,56.80,56.80,56.81,56.81,56.81,56.80,56.80,56.80,56.80
Gribskov,280.00,280.00,280.00,280.00,279.50,279.50,279.50,279.50,279.47,279.47,279.47,279.50,279.50,279.50,279.50
Halsnæs,121.19,121.19,121.19,121.19,121.90,121.90,121.90,121.90,121.93,121.94,121.94,121.90,121.90,121.90,122.00
Helsingør,121.61,121.61,121.61,121.61,118.90,118.90,118.90,118.90,118.88,118.88,118.88,118.90,118.90,118.90,118.90
Hillerød,214.39,214.39,214.39,214.39,213.30,213.40,213.40,213.40,213.45,213.45,213.45,213.50,213.50,213.50,213.50
Hørsholm,31.38,31.38,31.38,31.38,31.30,31.30,31.30,31.30,31.29,31.29,31.29,31.30,31.30,31.30,31.30
Rudersdal,73.34,73.34,73.34,73.34,73.30,73.30,73.30,73.30,73.35,73.35,73.35,73.30,73.30,73.30,73.30
Bornholm,588.15,588.15,588.15,588.15,588.30,588.30,588.30,588.30,588.36,588.36,588.36,588.40,588.40,588.40,588.50
Christiansø,0.40,0.40,0.40,0.40,..,..,..,..,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Greve,60.18,60.18,60.18,60.18,60.40,60.40,60.40,60.40,60.36,60.36,60.36,60.40,60.40,60.40,60.40
Køge,255.47,255.47,255.47,255.47,256.50,256.50,256.50,256.50,256.52,257.02,257.02,257.20,257.30,257.50,257.50
Lejre,240.07,240.07,240.07,240.07,238.90,238.90,238.90,238.90,238.92,238.92,238.92,238.90,238.90,238.90,238.90
Roskilde,211.88,211.88,211.88,211.88,211.80,211.80,211.80,211.80,211.82,211.82,211.82,211.80,211.80,211.80,211.80
Solrød,39.99,39.99,39.99,39.99,40.10,40.10,40.10,40.10,40.08,40.07,40.08,40.10,40.10,40.10,40.10
Faxe,404.54,404.54,404.54,404.54,404.90,404.90,404.90,404.90,404.92,404.92,404.92,404.90,404.90,404.90,404.90
Guldborgsund,903.42,903.42,903.42,903.42,899.30,899.30,900.60,900.60,900.64,900.64,900.64,900.60,900.60,900.60,900.70
Holbæk,578.74,578.74,578.74,578.74,577.20,577.20,577.20,577.20,577.23,577.24,577.24,577.20,577.20,577.20,577.30
Kalundborg,603.73,603.73,603.73,603.73,575.00,575.00,575.10,575.10,575.17,575.17,575.25,575.30,575.30,575.40,575.40
Lolland,891.92,891.92,891.92,891.92,882.20,882.20,886.00,886.10,886.08,886.11,886.12,886.10,886.10,886.20,886.60
Næstved,683.88,683.88,683.88,683.88,676.40,676.40,676.40,676.40,676.80,676.80,676.80,676.80,676.80,676.80,676.80
Odsherred,355.30,355.30,355.30,355.30,354.10,354.10,354.10,354.10,354.11,354.11,354.11,354.10,354.10,354.10,354.20
Ringsted,295.48,295.48,295.48,295.48,294.60,294.60,294.60,294.60,294.57,294.70,294.70,294.70,294.70,294.70,294.70
Slagelse,567.34,567.34,567.34,567.34,568.00,568.00,568.00,568.00,567.98,567.98,567.98,568.00,568.30,568.30,568.30
Sorø,309.93,309.93,309.93,309.93,308.30,308.30,308.30,308.30,308.33,308.49,308.49,308.50,308.50,308.50,308.50
Stevns,250.19,250.19,250.19,250.19,250.10,250.10,250.10,250.10,250.08,250.08,250.08,250.10,250.10,250.10,250.10
Vordingborg,621.15,621.15,621.15,621.15,619.50,619.60,619.60,619.60,619.54,619.54,619.54,619.50,620.20,620.20,620.20
Assens,512.20,512.20,512.20,512.20,511.30,511.40,511.40,511.40,511.38,511.51,511.51,511.50,511.50,511.50,511.60
Faaborg-Midtfyn,637.42,637.42,637.42,637.42,633.60,633.60,633.60,633.60,633.58,633.58,633.63,633.60,633.60,633.60,633.60
Kerteminde,205.85,205.85,205.85,205.85,205.80,205.80,205.80,205.80,205.79,205.79,205.79,205.90,205.90,205.90,206.20
Langeland,291.21,291.21,291.21,291.21,288.80,288.80,288.90,288.90,288.87,289.17,289.17,289.20,289.20,290.30,290.70
Middelfart,299.93,299.93,299.93,299.93,298.80,298.80,298.80,298.80,298.79,298.84,298.84,298.90,298.90,298.90,298.90
Nordfyns,451.57,451.57,451.57,451.57,452.30,452.30,452.30,452.30,452.27,452.27,452.27,452.30,452.30,452.30,452.30
Nyborg,276.24,276.24,276.24,276.24,276.50,276.70,276.80,276.80,276.78,276.78,276.78,276.80,276.80,276.80,276.80
Odense,304.34,304.34,304.34,304.34,305.60,305.60,305.60,305.60,305.61,305.61,305.61,305.60,305.60,305.60,305.60
Svendborg,416.63,416.63,416.63,416.63,415.40,415.40,415.40,415.40,415.40,415.40,415.40,415.40,415.40,415.40,415.40
Ærø,90.45,90.45,90.45,90.45,90.10,90.10,90.10,90.10,90.08,90.09,90.09,90.10,90.10,90.10,90.10
Billund,536.51,536.51,536.51,536.51,540.20,540.20,540.20,540.20,540.20,540.20,540.20,540.20,540.20,540.20,540.20
Esbjerg,742.50,752.67,752.67,752.67,794.40,794.50,794.50,794.50,794.51,794.51,795.00,795.10,795.20,795.30,795.30
Fanø,55.78,55.78,55.78,55.78,54.60,54.60,54.60,54.60,54.55,54.55,57.63,57.60,57.60,57.60,57.60
Fredericia,134.46,134.46,134.46,134.46,133.60,133.60,133.60,133.60,133.62,133.62,133.62,133.60,133.60,133.60,133.60
Haderslev,812.64,812.64,812.64,812.64,816.60,816.60,816.60,816.60,816.80,816.80,816.80,816.80,816.80,816.80,816.80
Kolding,611.57,611.57,611.57,611.57,604.40,604.40,604.40,604.40,604.42,604.42,604.42,604.40,604.40,604.40,604.40
Sønderborg,496.57,496.57,496.57,496.57,496.50,496.50,496.60,496.50,496.59,496.51,496.50,496.50,496.50,496.50,496.50
Tønder,1252.39,1252.39,1252.39,1252.39,1283.80,1283.80,1283.80,1283.80,1283.89,1283.89,1283.89,1283.90,1283.90,1283.90,1283.90
Varde,1255.83,1245.66,1245.66,1245.66,1240.10,1240.10,1240.10,1240.10,1240.11,1240.11,1240.11,1240.10,1240.10,1240.10,1240.10
Vejen,814.36,814.36,814.36,814.36,813.70,813.70,813.70,813.70,813.66,813.66,813.66,813.70,813.70,813.70,813.70
Vejle,1066.17,1066.17,1066.17,1066.17,1058.40,1058.40,1058.40,1058.40,1058.43,1058.43,1058.43,1058.40,1058.50,1058.60,1058.60
Aabenraa,941.55,941.55,941.55,941.55,940.70,940.70,940.70,940.70,940.70,940.70,940.70,940.70,940.70,940.70,940.70
Favrskov,540.86,540.86,540.86,540.86,540.30,540.30,540.30,540.30,540.29,540.29,540.29,540.30,540.30,540.30,540.30
Hedensted,551.54,551.54,551.54,551.54,551.10,551.10,551.10,551.10,551.00,551.01,551.01,551.00,551.00,551.00,551.00
Horsens,515.22,515.22,515.22,515.22,519.30,519.40,519.40,519.40,519.39,519.39,519.40,519.40,519.40,519.40,519.40
Norddjurs,721.19,721.19,721.19,721.19,721.00,721.00,721.00,721.00,720.99,721.00,721.00,721.00,721.00,721.00,721.00
Odder,225.13,225.13,225.13,225.13,223.70,223.70,223.70,223.70,223.73,223.73,223.75,223.70,223.70,223.70,223.70
Randers,746.35,746.35,746.35,746.35,747.80,747.80,747.80,747.80,747.79,747.80,747.80,747.80,747.80,747.80,747.80
Samsø,114.26,114.26,114.26,114.26,113.50,113.50,113.50,113.50,113.54,113.54,113.54,113.60,113.60,113.60,113.60
Silkeborg,864.89,864.89,864.89,864.89,850.30,850.30,850.30,850.30,850.35,850.35,850.35,850.30,850.30,850.40,850.40
Skanderborg,462.45,462.45,462.45,462.45,416.90,416.90,416.90,416.80,416.85,416.85,416.85,416.90,416.90,416.90,416.90
Syddjurs,696.34,696.34,696.34,696.34,689.70,689.70,689.70,689.70,689.75,689.75,689.75,689.80,689.80,689.80,689.80
Aarhus,468.87,468.87,468.87,468.87,467.60,467.60,467.70,467.70,467.85,467.85,467.85,467.90,467.90,468.00,468.10
Herning,1323.50,1323.50,1323.50,1323.50,1321.10,1321.10,1321.10,1321.10,1321.12,1321.12,1321.12,1321.10,1321.10,1321.10,1321.10
Holstebro,800.19,800.19,800.19,800.19,793.00,793.00,793.00,793.00,793.03,793.05,793.05,793.00,793.00,793.00,793.00
Ikast-Brande,736.41,736.41,736.41,736.41,733.50,733.50,733.50,733.50,733.51,733.51,733.51,733.50,733.50,733.50,733.50
Lemvig,508.17,508.17,508.17,508.17,502.70,502.70,508.70,508.70,508.77,508.77,508.78,508.80,508.80,509.10,509.70
Ringkøbing-Skjern,1488.82,1488.82,1488.82,1488.82,1469.50,1469.50,1469.50,1469.50,1469.72,1469.99,1469.99,1470.50,1470.60,1470.70,1473.40
Skive,690.70,690.70,690.70,690.70,683.40,683.40,683.40,683.40,683.42,683.42,683.42,683.40,683.40,683.50,683.50
Struer,250.84,250.84,250.84,250.84,246.20,246.20,246.20,246.20,246.23,246.23,246.21,246.20,246.20,246.20,246.20
Viborg,1418.61,1418.61,1418.61,1418.61,1408.70,1408.80,1408.90,1408.90,1408.89,1408.90,1408.91,1408.90,1408.90,1408.90,1408.90
Brønderslev,633.18,633.18,633.18,633.18,633.10,633.10,633.10,633.10,633.06,633.08,633.08,633.10,633.10,633.10,633.10
Frederikshavn,648.62,648.62,648.62,648.62,649.30,649.30,649.40,649.40,649.32,649.44,651.04,651.40,652.50,652.10,652.30
Hjørring,929.58,929.58,929.58,929.58,926.60,926.60,926.50,926.50,926.60,926.58,926.58,926.80,926.80,926.80,926.90
Jammerbugt,872.92,872.92,872.92,872.92,863.90,863.90,863.90,863.90,864.06,864.09,864.09,864.10,864.10,864.10,864.10
Læsø,113.81,113.81,113.81,113.81,118.40,118.90,119.00,119.00,119.18,119.22,119.40,120.50,121.80,121.90,122.00
Mariagerfjord,720.30,722.93,722.93,722.93,718.30,718.30,718.30,718.30,718.30,718.29,718.29,718.30,718.30,718.30,718.30
Morsø,367.67,367.67,367.67,367.67,366.40,366.40,366.40,366.40,366.42,366.43,366.43,366.40,366.40,366.50,366.50
Rebild,625.38,622.75,622.75,622.75,621.30,621.30,621.30,621.30,621.26,621.26,621.26,621.30,621.30,621.30,621.30
Thisted,1101.65,1101.65,1101.65,1101.65,1068.50,1068.50,1073.70,1073.70,1073.85,1073.85,1073.88,1073.90,1074.00,1074.30,1072.10
Vesthimmerlands,776.22,776.22,776.22,776.22,769.80,769.80,769.80,769.80,769.79,769.79,769.79,769.80,769.80,769.70,769.80
Aalborg,1143.99,1143.99,1143.99,1143.99,1137.20,1137.10,1137.30,1137.30,1137.31,1137.31,1137.33,1137.40,1137.40,1137.40,1137.40

Fra 1. januar 2011 baseres opgørelsen af arealerne på data fra 
Geodatastyrelsens matrikelregister. Kun matrikulerede områder er 
medtaget ved opmålingen, hvilket medfører, at mange søer ikke er 
medtaget. For kommuner med umatrikulerede søer vil arealet derfor 
være faldet sammenlignet med tidligere. Pr. 1. januar 2011-2013 
gælder yderligere for København og Frederiksberg, at vejene ikke er 
matrikuleret og derfor ikke indgår i det opmålte areal. 
