Kommune,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
København,528208,539542,549050,559440,569557,580184,591481,602481,613288,623404,632340
Frederiksberg,96718,98782,100215,102029,102717,103192,104481,105037,104410,103960,104305
Dragør,13564,13717,13692,13917,13977,14028,14142,14288,14272,14270,14494
Tårnby,40383,40835,41151,41572,41992,42573,42860,43010,43063,42984,42989
Albertslund,27730,27800,27864,27824,27728,27806,27880,27896,27743,27877,27731
Ballerup,47652,47930,47994,48211,48514,48355,48224,48231,48295,48458,48602
Brøndby,33795,34021,34084,34210,34580,35050,35322,35594,35538,35397,35090
Gentofte,71052,71714,72814,73360,74282,74932,75350,75805,75803,75176,74830
Gladsaxe,64102,64951,65303,66030,66656,67347,67914,68775,69484,69681,69262
Glostrup,21296,21384,21650,21869,22066,22357,22461,22528,22663,22615,23128
Herlev,26556,26597,26608,26958,27706,28148,28423,28406,28572,28786,28953
Hvidovre,49724,50081,50600,51341,51842,52380,52831,52964,53282,53416,53527
Høje-Taastrup,47664,47753,48081,48471,48807,49230,49960,50246,50596,50686,50759
Ishøj,20606,20797,21087,21131,21547,22025,22358,22719,22988,22946,22989
Lyngby-Taarbæk,52237,52754,53251,53840,54237,54778,55097,55240,55472,55790,56214
Rødovre,36233,36524,36883,37351,37552,37743,38002,38492,39343,40052,40652
Vallensbæk,14045,14445,14565,14797,15095,15204,15419,15705,16280,16654,16633
Allerød,24089,24096,24043,24073,24175,24411,24732,24942,25235,25646,25633
Egedal,41513,41614,41821,42018,42210,42573,42773,43082,43000,43335,43354
Fredensborg,39226,39341,39565,39462,39585,39772,40112,40504,40779,40819,40865
Frederikssund,44182,44307,44345,44365,44401,44413,44725,45036,45189,45332,45223
Furesø,38232,38286,38243,38236,38492,39077,40156,40613,40911,41069,40965
Gribskov,40694,40700,40603,40655,40778,40855,41107,41213,41217,41195,41048
Halsnæs,31077,31056,30980,30803,30647,30736,31049,31162,31168,31271,31384
Helsingør,61143,61368,61493,61613,61519,61632,62092,62443,62686,62567,62695
Hillerød,47473,47916,48203,48315,48695,49108,49672,50109,50650,50998,51183
Hørsholm,24378,24415,24365,24543,24709,24856,24965,24977,25028,25007,24864
Rudersdal,54444,54765,54630,54827,55034,55441,55739,56133,55989,56509,56728
Bornholm,42154,41802,41303,40715,40215,39828,39756,39695,39632,39572,39499
Christiansø,101,94,103,92,90,91,91,78,83,90,84
Greve,47826,47978,47942,47980,48095,48835,49518,49921,49974,50267,50558
Køge,57125,57271,57307,57771,58374,59285,59868,60109,60356,60675,60979
Lejre,26794,26764,26887,26901,26989,27172,27317,27402,27544,27775,27996
Roskilde,81947,82542,83137,83554,84219,85026,86207,87015,87382,87577,87914
Solrød,20882,20964,21156,21145,21339,21552,21788,22147,22518,23065,23255
Faxe,35306,35277,35110,35123,35119,35195,35614,35916,36139,36513,36576
Guldborgsund,62912,62583,61913,61322,61007,60829,60979,61257,61219,60930,60722
Holbæk,69550,69521,69415,69263,69016,69035,69972,70950,70983,71297,71541
Kalundborg,49265,49088,48632,48294,48358,48469,48660,48736,48982,48681,48436
Lolland,46984,46111,45241,44436,43528,43024,42638,42285,41982,41615,41105
Næstved,81112,80963,81012,81163,81432,81687,82342,82581,82938,82991,83143
Odsherred,33030,32845,32640,32452,32534,32665,32816,33023,33083,33122,32957
Ringsted,32584,32890,33153,33217,33349,33573,34031,34259,34473,34725,34852
Slagelse,77475,77442,77310,77167,76948,77293,78140,78828,78968,79073,79073
Sorø,29522,29499,29393,29288,29299,29331,29543,29595,29669,29834,29881
Stevns,21931,21855,21855,21818,21825,22038,22260,22492,22727,22782,22805
Vordingborg,46319,46170,45804,45465,45295,45471,45806,46037,46087,45816,45566
Assens,42054,41635,41443,41325,41037,41046,41224,41390,41328,41212,40965
Faaborg-Midtfyn,52085,51926,51635,51409,51078,50953,51236,51376,51536,51809,51556
Kerteminde,23770,23758,23793,23787,23665,23728,23880,23774,23756,23773,23812
Langeland,13510,13322,13094,12861,12695,12647,12547,12578,12641,12560,12491
Middelfart,37661,37701,37612,37523,37685,37857,37913,38093,38210,38553,38853
Nordfyns,29638,29507,29330,29224,29066,29030,29298,29446,29516,29693,29665
Nyborg,31690,31499,31486,31350,31314,31573,31886,32142,32032,32042,32009
Odense,188777,190245,191610,193370,195797,197480,198972,200563,202348,204182,204895
Svendborg,58998,58713,58551,58296,57979,57988,58228,58510,58698,58599,58296
Ærø,6679,6663,6636,6527,6393,6276,6290,6177,6178,6058,5964
Billund,26160,26155,26220,26357,26318,26285,26434,26481,26482,26629,26608
Esbjerg,115114,115184,115112,115051,115095,115446,115748,115905,116032,115652,115483
Fanø,3219,3213,3251,3237,3264,3263,3290,3345,3401,3404,3488
Fredericia,49849,50104,50193,50374,50324,50429,50689,50868,51326,51427,51377
Haderslev,56346,56117,56188,56051,55906,55888,56029,56045,55963,55857,55670
Kolding,89071,89210,89412,89556,90066,90794,91695,92282,92515,92893,93175
Sønderborg,76439,76193,76094,75732,75264,74937,74737,74801,74650,74561,74220
Tønder,39710,39464,39083,38686,38316,38010,37904,37928,37777,37587,37366
Varde,50378,50351,50193,49969,49958,50122,50289,50452,50301,50129,49961
Vejen,42768,42683,42785,42700,42667,42601,42869,42822,42844,42863,42742
Vejle,106383,107218,108021,108826,109652,110471,111743,113243,114140,114830,115748
Aabenraa,59978,59795,59600,59208,58970,58904,58869,59003,59089,59035,58761
Favrskov,46529,46894,47117,47156,47163,47523,47655,47915,48271,48374,48397
Hedensted,45982,45980,46029,45868,45715,46091,46206,46524,46616,46747,46722
Horsens,81957,82835,83598,84871,85662,86361,87736,89030,89598,90370,90966
Norddjurs,38148,38029,37876,38035,37925,37898,38144,38099,38197,37680,37089
Odder,21721,21852,21749,21800,21773,21928,22131,22331,22626,22675,22844
Randers,94750,95318,95756,96007,96343,96800,97520,98118,98265,97909,97805
Samsø,4010,3885,3889,3806,3767,3733,3710,3724,3720,3684,3657
Silkeborg,88481,88913,89328,89346,89633,90016,90719,91237,92024,93054,94026
Skanderborg,57303,57717,58008,58094,58176,58782,59481,60401,61158,61974,62678
Syddjurs,41392,41734,41815,41894,41719,41652,41889,42021,42468,42768,42962
Aarhus,306650,310956,314545,319094,323893,326246,330639,335684,340421,345332,349983
Herning,85548,85852,86348,86595,86842,86864,87593,88386,88733,88917,89127
Holstebro,57056,57161,57153,57254,57338,57494,57661,58125,58418,58504,58591
Ikast-Brande,40312,40571,40658,40468,40602,40598,40798,40981,41191,41282,41369
Lemvig,21790,21554,21384,21223,20933,20657,20399,20291,20133,19998,19722
Ringkøbing-Skjern,58439,58068,57892,57529,57093,57042,57139,57022,57005,56930,56594
Skive,48137,47986,47620,47291,46942,46641,46639,46540,46599,46224,45851
Struer,22483,22190,22098,21846,21533,21439,21474,21347,21270,21143,21036
Viborg,93310,93498,93819,94333,94486,94985,95776,96477,96883,97113,96921
Brønderslev,35804,35789,35754,35600,35627,35781,36047,36128,36289,36370,36304
Frederikshavn,62007,61576,61158,60775,60458,60377,60246,60356,60140,59987,59654
Hjørring,66803,66473,66178,65767,65405,65295,65411,65307,65257,64665,64483
Jammerbugt,38927,38733,38611,38597,38351,38293,38466,38581,38638,38460,38324
Læsø,1969,1949,1897,1839,1808,1795,1817,1793,1807,1806,1786
Mariagerfjord,42604,42572,42429,42111,42093,42134,42131,42066,42125,42055,41800
Morsø,21833,21600,21474,21189,21003,20816,20629,20665,20514,20403,20247
Rebild,28852,28940,28911,28866,28794,28859,29149,29391,29827,29916,30113
Thisted,45297,45145,44908,44494,44230,44078,43991,43826,43716,43660,43423
Vesthimmerlands,38106,37864,37534,37586,37479,37399,37296,37285,37277,37121,36727
Aalborg,197426,199188,201142,203448,205809,207805,210316,211937,213558,215312,217075
